Title of the initiative;Brief description;Leading UN agency;Blockchain usage and application;Who built the solution;Token used;Access and participation model;Reason for private/hybrid blockchain;Is project open-source?;Primary SDGs addressed;SDG indicators and targets;"Beneficiaries; Number affected/involved";Blockchain success metrics;Key challenges in implementation and key barriers to adoption;Lessons learned;Scalability Potential;Impact assessment with KPIs;Geographical scope;Project lifecycle information;Project type;Funding amount;Funding sources and budget;Partnership models;Governance framework: policies or frameworks guiding project implementation;Legal considerations;Documentation and reports;Project's website and social media;Start date;End date;Status;Ethereum mainnet or Layer-2 (specify);If not Mainnet or L2s
Rahat - A blockchain-based platform for aid distribution and anticipatory action;"Extending the Rahat platform to be capable of transferring cryptocurrencies in humanitarian/social protection cash transfers. Rahat is a blockchain-based digital cash and voucher assistance (CVA) management system developed by Rumsan. It aims to enhance transparency, accountability, and efficiency in the distribution of humanitarian aid, particularly in hard-to-reach areas. The system allows for mobile-based blockchain tokens to manage and monitor aid transactions during emergency response and recovery programs.

Rahat is an open-source, blockchain-based platform that enables humanitarian agencies to distribute and manage digital relief through tokens. It supports vulnerable communities by delivering timely, anticipatory cash and voucher assistance, helping them build resilience against climate shocks.

Rahat is a graduate of the UNICEF Venture Fund’s seed stage program, where it improved its main CVA platform and successfully ran a pilot in Jaleswar. It is now part of the fund’s growth stage cohort, working on moving from private digital tokens to crypto-based aid and scaling its humanitarian and anticipatory action system to reach more people.";"UNICEF - Nepal

Startup Investment";"Financial inclusion and digital payments

Multi modal digital asset treasury options, integrations with Offramps, Integrations with Anticipatory action modules (in the future), beneficiary management, reporting

- Anticipatory Action Smart Contracts: Automated smart contract triggers are used to initiate aid distribution and early warning messages based on predefined early warning indicators (e.g., weather data, risk thresholds).
- Secure Multisig Wallets: Implements Gnosis SAFE multisig wallets to manage fund approvals, adding an extra layer of security and requiring multiple signatories for any transaction.
- Transparent Cash Distribution: Aid disbursements are recorded on-chain and can be tracked through a block explorer, ensuring transparency and accountability.
- Stable Digital Currency: Utilizes stablecoins (e.g., USDC) to maintain the value of aid and minimize volatility during distribution.";Rumsan;"tokens for aid distribution (blchn-based)
ERC-20";Public & Private blockchain Open to vulnerable communities in Nepal, particularly in flood-prone areas;Crypto regulation in Nepal;Yes;SDG 1, 10, 16;SDG 1.1, 10.2, 16.6;"56151

5,000 Vulnerable families in Jaleshwor Municipality, Mahottari District, Nepal";"# of beneficiaries reached, amount of digital assets transferred. Over 5,000 beneficiaries reached during pilot phase

1.a - # of humanitarian agencies onboarded yearly
1.4 - # of beneficiaries who were trained on digital literacy
1.4 - # of vulnerable beneficiaries who received access to finance via Rahat tokens
1.4 - Total value of financial aid mobilized to vulnerable people per year
1.5 - # of beneficiaries at risk of climate shocks and are supported via Rahat platform per year
5.5 - Women in managerial positions per year
5.5 - Proportion of women in managerial positions
9.c - # of communications sent from Rahat";Under development. During seed funding stage, regulatory restrictions on public blockchain use, ensuring offline functionality in remote areas, building trust among beneficiaries;"- Blockchain Enhances CVA: Blockchain shows strong potential to improve transparency, reduce fraud, and accelerate aid delivery in Cash and Voucher Assistance (CVA) programs.
- Context Matters: Solutions must be adapted to local infrastructure, regulations, and beneficiary needs to be effective.
- User-Centric Design: Interfaces should be simple and accessible for both beneficiaries and administrators to ensure adoption.
- Collaborative Approach: Strong partnerships between humanitarian agencies, local organizations, and tech providers are vital for success.
- Data Protection is Crucial: Privacy and security of beneficiary data must be prioritized in all implementations.
- Scaling is Complex: Expansion of blockchain-based CVA requires strategic planning, resources, and infrastructure readiness.
- Guidance for the Future: Clear procedures, strong M&E frameworks, and local capacity building are essential for future implementations.
For more details - https://www.unicef.org/nepal/media/21181/file/Evaluation%20of%20Rahat%20-%20Summary.pdf";"- Open-Source
- Globally Deployable
- Modular & Interoperability
- Crypto Ready
- Language & Localization Support";"Evaluation of pilot effectiveness, transparency, scalability, and cost-effectiveness

- Transparency & Fraud Reduction
- Efficiency, Resource coordination & Cost-Effectiveness
- Aligned with Local Context
- High Acceptance from the Users
https://www.unicef.org/nepal/media/21181/file/Evaluation%20of%20Rahat%20-%20Summary.pdf";"Inovation Seed Phase (community)- Jaleshwor Municipality, Mahottari District, Nepal

Growth Phase (global) - Global";"Seed stage pilot with UNICEF Nepal completed in 2023; currently mid growth-investment prototyping and piltoting with Venture Fund

Rumsan FP stated: Seed phase completed in early 2021

Growth phase started in early 2024 and ongoing";Blockchain-based humanitarian aid, crypto aid and anticipatory action project;"Total of over $383K in seed and growth funding (fiat and crypto)

Rumsan FP stated:
Innovation Fund - USD 100,000

Growth Fund - USD 150,000";UNICEF Innovation Fund;public-private partnership;"Nepal's cash distribution framework, Crypto framework	";Compliance with local regulations on digital payments, data privacy and crypto;Jaleswor Evaluation report - https://www.unicef.org/nepal/media/21181/file/Evaluation%20of%20Rahat%20-%20Summary.pdf;"www.rahat.io
github.com/rahataid
https://www.linkedin.com/company/rumsan";"2023

Rumsan FP stated: May 2021";Ongoing;Active;NA;EVM private chain
Connectivity Credits;A mechanism to reward ISPs with tokenized credits for connecting public schools to the internet. These credits can be redeemed for incentives such as payments, infrastructure capacity, or tax benefits.;UNICEF (via Giga initiative);Digital public infrastructure / Impact financing;;"Non-transferrable utility tokens representing verified connectivity service delivery (""Connectivity Credits"")";Permissioned access for accredited ISPs;;;SDG 4, SDG 9, SDG 17;4.a.1, 9.c.1, 17.6.1;Public school students, teachers, local ISPs, national education systems;Number of schools connected, cost per school connected;Data verification, regulatory buy-in, financial sustainability of ISPs, procurement alignment, ISP liquidity gaps;;;;Kenya, Malawi, South Africa, Mexico (pilot countries);"Design and prototyping (2023–2024)
Pilot deployment (2025)
Scaling phase (2026 onward)";;;;Results-based financing, vendor marketplaces, public-private partnerships;;;;https://connectivitycredits.org;2025 (pilot rollouts);Ongoing;"Pilot phase; actively onboarding partners and launching in Kenya, Malawi, Mexico and South Africa in 2025";;
Crypto Stamp Marketplace;The Crypto Stamp Marketplace, developed by the UPU’s .POST Group in partnership with STAMPfinity, is a global blockchain-based platform for issuing and trading digital stamps (NFTs). It modernizes traditional philately by enabling secure authentication and global access. The initiative aims to attract younger audiences and support postal digital transformation.;UPU;Financial inclusion and digital payments;;MATIC (Polygon);Public blockchain;;;SDG 8, 9, 11;SDG 8.3, 9.1, 11,4;Stamp traders;Volume of stamps exchanged, Number of active users;NFT regulations as rare digital assets;;Global, might be applicable to other sectors of rare good trades;;Global;;;;;public-private partnership;;Compliance with international philately regulations;;;02.Dec.20;;Ongoing ;;
Building Blocks - Beneficiary-centric, blockchain-based network for inter-agency coordination of humanitarian assistance ;Building Blocks (BB) is a blockchain network optimized for humanitarian and development use cases. BB is designed for inter-organizational collaboration, coordination and preventative de-duplication to optimize and harmonize assistance by providing a 360° view of which agency is reaching which recipients and with what assistance, ensuring collective assistance is coordinated and equitable, and access to support is also simplified and more convenient.;WFP;"Financial inclusion and digital payments

On top of the BB blockchain network, various applications or ‘smart contracts’ of interest to the humanitarian community can be built, made available for free to all network members. Network member WFP has developed a robust and powerful financial value transfer application that facilitates the transfer of value which can be saved, traded and/or consumed, such as food, cash, WASH, medicine and more. New applications optimized for other use cases, for example the transfer of value through information such as Digital ID and Supply Chain, could also be deployed by network members.";WFP & third party developer partnerships;Tokens for aid distribution (blchn-based);"Private, permissioned EVM; participation through engagement as a BB network member under a governance framework.

Alternative route in some operations, BB is made available as a free-of-charge service to the humanitarian community through participation in Cash Working Group (CWG), Food Security & Livelihoods (FSL) and other clusters. ";For transaction throughput, cost, and privacy reasons, BB runs on a private-permissioned blockchain, enabling an increase in transaction throughput beyond current and anticipated near future needs, on-chain transaction cost of zero, block (confirmation) time of 5 seconds, and the information on BB to only be visible to its approved humanitarian members. ;"No, BB is currently not open source though built on many open-source components.

All smart contracts on BB are available for free to other full BB network members.";SDG 17;SDG 17.6, 17.7, 17.16, 17.17;"Supporting >4.92 million households affected by conflict in Ukraine since May 2022. ​

Launched in Syria operations November 2024, and Palestine in March 2025, previously Lebanon in 2020. 

Assisting 1 million Syrian and Rohingya refugees in Jordan and Bangladesh through online transfer management since 2017 and 2020. ";"6 million people supported

US$760 million in cash-based redemptions processed 

US$230 million in unintended assistance overlap prevented 

80+ organisations collaborating 

US$3.5 million in bank fees saved";"Platform scalability to meet demand (especially in UKR and BGD).

Effective coordination between disparate humanitarian organisations.

Achieving widespread adoption of the solution with full network members.

Identification and prevalence of beneficiary individual common identifiers.";The importance of collaboration among humanitarian agencies, the need for robust data security measures, and the potential of blockchain to enhance transparency and efficiency in aid distribution.;"High scalability potential, as evidenced by expansion to multiple countries and integration with various humanitarian organizations.

Potential to scale to more humanitarian operations with current value transfer application, inter-agency deduplication of assistance and redemption harmonisation use cases. 

Potential for full network members to develop and deploy additional applications for new contexts and use cases.";"People served; cash-based redemptions processed; unintended assistance overlap prevented; organisations collaborating; bank fees saved";Platform currently deployed in Jordan, Bangladesh, Ukraine, Syria and Palestine. ;Plaform operational since 2018 and continuing to scale.;Built for blockchain;"Ongoing operations funded by WFP Country Offices. 

Central ECHO ERC funding received in 2025 for “Leveraging Building Blocks as a decentralized, non-proprietary system for inter-organizational collaboration and efficiency.”";Joining the BB network as a full network member is free and all smart contracts on the network are free for all members, to ensure investments into the network synergistically benefit all members, and we avoid re-creating the same features multiple times in disparate systems. WFP additionally makes its BB infrastructure, backend, and mobile application code available for free to all members. ;Collaborative model involving multiple humanitarian organizations (UN and INGOs with a demonstrated history of the do-no-harm principles) sharing a common blockchain platform to coordinate aid distribution.;"Governance framework for full network members. 

CWG / cluster membership confirmation and completed individual user access form for alternative route. ";Data privacy laws (specific to each country deployment).;Information available on the Building Blocks website, further detail available upon request;https://www.wfp.org/building-blocks;"Proof of concept: Pakistan Jan 2017

Pilot: Jordan May 2017

Scaled Operations: Jordan Jan 2018
Bangladesh March 2021
Ukraine May 2022";Ongoing;Active;N/A;Parity / OpenEthereum, work underway to transition to an alternative Ethereum client (either Nethermind or Hyperledger Besu)
Etherisc – Blockchain-Based Insurance for Smallholder Farmers ;Etherisc is a blockchain-based technology platform which allows end-to-end automation of parametric insurance products. The platform produces a single source of real-time claims data while removing the need for each stakeholder to separately verify weather data before claims are paid out. This automation enables claims to be paid faster while cutting costs. Leveraging blockchain's real-time transaction tracking also enhances transparent monitoring for all stakeholders;WFP;"Financial inclusion and digital payments

Trust among different parties involved in an insurance product";Etherisc;N/A;Public;N/A;Yes;SDG 1, 2, 10, 13;;"Smallholder farmers, particularly in developing countries who face financial risk from crop failures due to climate change.

38,500 people reached";Number of farmers covered by insurance, Perception of a more trustful insurance process;Coordinate in a short period of time the work from the insurance company, reinsurance company and Etherisc.;Getting written buy-in and understanding upfront when the new process requires change in the core processes of the involved companies.;The blockchain solution can be expanded to other regions and agricultural sectors, particularly as mobile connectivity increases.;The project generated partial results. The ultimate goal would be the creations of a more efficient and affordable microinsurance product, ultimately leading to less financial losses in agricultural production and enhanced resilience of smallholder farmers to climate risks.;"Burkina Faso

+Potentially Kenya";Closure;;;"Donations from governments and partnerships with tech firms.
";Public-private partnership;;Legal frameworks to recognize blockchain-based insurance might need adaptation in different countries.;;https://innovation.wfp.org/project/etherisc ;2023;2024;Closure;Polygon L2;
"Programme name: EMPACT (EMPowerment in ACTion)
 Initiative: Digital Microwork";EMPACT provides digital skills training, including technical, English language, and soft skills, to vulnerable youth, connecting them to online work opportunities to improve their livelihoods.;WFP;"Financial inclusion and digital payments

Financial payments for livelihood opportuities";;Digital tokens for micropayments;Public;;;SDG 1, 4, 8, 9;4.4 - 4.4.1;13,512 youth across seven countries, including Kenya, Iraq, Lebanon, Turkey, Colombia, Palestine, and Zimbabwe.;Training completion rate of 98%, with 60% of graduates earning income through online work.;Financial exclusion, lack of digital literacy, and limited access to formal financial institutions.;"New players are entering the market offering very low paid (below minimum wage) jobs to the data labelers. Most big companies buy these services bcs they are low-cost, supporting below minimum wage work. There is a lack of regulations. 
 EMPACT and Digital Microwork will have a demand crisis as they train participants to offer them =/+ minimum wage jobs and discourage participants to accept underpaid jobs.";Scalability potential is high since there was a consortium/group of companies involved. due to limitations on integrating such technology within UN institutions at the time, the project faced a lot of challenges. however as policy constraints evolve, scalability within our sector could also be easy.;Key performance indicators include training completion rates, income generation post-training, and participant satisfaction.;"Programme coverage: Kenya, Iraq, Lebanon, Turkey, Colombia, Palestine, Zimbabwe.
 
 Blockchain project pilot: Kenya";"Programme Launched in 2016, the project has completed its lifecycle with the WFP Innovation Accelerator
 
 Blockchain project: 2021 - 2022";;"€2 million donation from Belgium to support blockchain initiatives, including EMPACT.
 
 USD 100,000 for the pilot project from the accelerator";Donations from governments and partnerships with tech firms.;Public-private partnerships;;Legal frameworks to recognize blockchain-based payments might need adaptation in different countries.;"https://announcements.asx.com.au/asxpdf/20220224/pdf/456bjczfhh2wzh.pdf
 
 https//youtu.be/YgNOba9A18U
 
 https://www.f6s.com/account/dashboard/download-application-file/1422044/1113390";;2021;2022;Completed;;
Grassroots Economics;Comunity Inclusion Currencies for Food Security;WFP;"Financial inclusion and digital payments

Tokenization and traceability";"Grassroots Economics
";Community Inclusion Currencies (CICs);Public to visualization;Lack of scalability on Ethereum on that time, control of fees;;SDG 1, 2, 10, 11;;Local communities;Number of people reached, KPIs to measure cash assistance with or without CICs;Measure the impact with and without CIC, scalability;;Hard to scale since requires community trust and adoption, also lack of legal clarification;;Kenya communities;Completed;;;Donations from governments and partnerships with tech firms.;Public-private partnerships;;Need of legal clarification for CIC;https://www.grassrootseconomics.org/wfp-kitui;;2021;2022;Completed;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
